City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
4,Shingu,JP,76.86,overcast clouds,33.7333,135.9833,Shingu UI Hotel
5,Jamestown,US,76.51,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Hithadhoo,MV,81.57,heavy intensity rain,-0.6,73.0833,Scoop Guest House
16,Sao Filipe,CV,77.65,overcast clouds,14.8961,-24.4956,Hotel Xaguate
18,San Policarpo,PH,80.42,light rain,12.1791,125.5072,Agapita M. Nicart
19,Douentza,ML,88.52,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
23,Butaritari,KI,81.28,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
25,Tripoli,LY,83.52,clear sky,32.8752,13.1875,Al Waddan Hotel
27,Bolobo,CD,83.71,overcast clouds,-2.1667,16.2333,Hotel de Stephen
28,Kavieng,PG,81.64,light rain,-2.5744,150.7967,Nusa Island Retreat
30,Denpasar,ID,76.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
33,Bonthe,SL,76.98,broken clouds,7.5264,-12.505,Bonthe Holiday Village
36,Mweka,CD,77.49,scattered clouds,-4.85,21.5667,Guest House Boshab
40,Odweyne,SO,75.49,scattered clouds,9.4092,45.064,Eng Hiirey House
47,Ipixuna,BR,77.52,overcast clouds,-1.7625,-48.8043,Chalé do Mato
48,Itupiranga,BR,89.92,overcast clouds,-5.1347,-49.3267,Hotel Panorama
55,Manadhoo,MV,79.9,moderate rain,5.7667,73.3833,Bon Abri maldives
59,Elmina,GH,75.38,broken clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
60,Calabozo,VE,87.6,overcast clouds,8.9242,-67.4293,Hotel Giardini
62,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
63,Ruwi,OM,87.49,broken clouds,23.5996,58.5507,Al Falaj Hotel
66,Padang,ID,77.38,overcast clouds,-0.9492,100.3543,Mercure Padang
67,Dinanagar,IN,77.61,overcast clouds,32.15,75.4667,Hotel Raavi
70,Tawau,MY,77.13,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
73,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,Katsuura,JP,79.48,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
77,Calvia,ES,84.07,clear sky,39.5657,2.5062,Castell Son Claret
87,Hobyo,SO,76.05,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
88,Diffa,NE,76.78,overcast clouds,13.3154,12.6113,ProDAF/Diffa
92,Balikpapan,ID,76.19,heavy intensity rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
96,Sinnamary,GF,82.92,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
99,San Ignacio,BZ,89.74,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
103,Birjand,IR,81.07,few clouds,32.8663,59.2211,Birjand Tourist Hotel
104,Wanning,CN,80.8,few clouds,18.8003,110.3967,Paradise Hotel
105,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
109,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
111,Inirida,CO,82.58,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
116,Kongolo,CD,79.34,scattered clouds,-5.3833,27.0,GUEST HOUSE OASIS
121,Rapar,IN,81.37,broken clouds,23.5667,70.6333,Dharamshi Bapa’s Home
122,Hasaki,JP,77.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
126,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
127,Key Largo,US,89.01,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
