City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Xining,CN,36.6167,101.7667,54.1,88,8,2.01,clear sky
1,Georgetown,MY,5.4112,100.3354,82.33,92,20,5.75,few clouds
2,Mount Isa,AU,-20.7333,139.5,46.17,76,100,0.0,overcast clouds
3,Busselton,AU,-33.65,115.3333,54.27,66,100,7.67,overcast clouds
4,Shingu,JP,33.7333,135.9833,76.86,87,100,3.71,overcast clouds
5,Jamestown,US,42.097,-79.2353,76.51,55,75,12.66,broken clouds
6,Ushuaia,AR,-54.8,-68.3,44.26,65,40,25.32,scattered clouds
7,Trelew,AR,-43.249,-65.3051,53.06,40,0,10.51,clear sky
8,Asau,RO,46.4333,26.4,69.28,88,88,5.21,overcast clouds
9,Bilma,NE,18.6853,12.9164,94.71,20,40,10.2,scattered clouds
10,Port Macquarie,AU,-31.4333,152.9167,43.9,87,65,4.81,broken clouds
11,Beringovskiy,RU,63.05,179.3167,50.05,73,100,1.5,overcast clouds
12,Hithadhoo,MV,-0.6,73.0833,81.57,74,100,16.6,heavy intensity rain
13,Merauke,ID,-8.4667,140.3333,77.16,86,100,16.24,overcast clouds
14,Port Elizabeth,ZA,-33.918,25.5701,53.89,71,0,16.11,clear sky
15,Russell,US,32.3502,-85.1999,93.11,62,20,9.22,few clouds
16,Sao Filipe,CV,14.8961,-24.4956,77.65,79,100,9.19,overcast clouds
17,Airai,TL,-8.9266,125.4092,57.88,93,60,3.62,broken clouds
18,San Policarpo,PH,12.1791,125.5072,80.42,82,100,8.12,light rain
19,Douentza,ML,14.9951,-2.9517,88.52,44,49,10.27,scattered clouds
20,Port Alfred,ZA,-33.5906,26.891,59.13,59,99,16.51,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,47.8,79,96,7.54,light rain
22,Tolaga Bay,NZ,-38.3667,178.3,55.02,74,26,17.47,scattered clouds
23,Butaritari,KI,3.0707,172.7902,81.28,69,100,16.62,overcast clouds
24,Severo-Kurilsk,RU,50.6789,156.125,52.54,93,84,7.61,broken clouds
25,Tripoli,LY,32.8752,13.1875,83.52,62,0,10.45,clear sky
26,Hobart,AU,-42.8794,147.3294,42.26,83,100,9.22,light rain
27,Bolobo,CD,-2.1667,16.2333,83.71,46,100,3.27,overcast clouds
28,Kavieng,PG,-2.5744,150.7967,81.64,76,75,12.19,light rain
29,Albany,US,42.6001,-73.9662,80.94,51,67,3.0,broken clouds
30,Denpasar,ID,-8.65,115.2167,76.71,88,20,10.36,few clouds
31,Codrington,AU,-38.2667,141.9667,51.89,57,100,19.37,light rain
32,Bredasdorp,ZA,-34.5322,20.0403,49.08,89,100,6.76,light rain
33,Bonthe,SL,7.5264,-12.505,76.98,72,57,7.81,broken clouds
34,Dunedin,NZ,-45.8742,170.5036,42.8,69,100,8.01,overcast clouds
35,Cidreira,BR,-30.1811,-50.2056,59.83,60,0,5.08,clear sky
36,Mweka,CD,-4.85,21.5667,77.49,43,40,1.66,scattered clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,57.22,77,0,6.91,clear sky
38,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,24.16,broken clouds
39,Tuatapere,NZ,-46.1333,167.6833,36.48,92,85,5.08,light rain
40,Odweyne,SO,9.4092,45.064,75.49,51,46,17.02,scattered clouds
41,Waipawa,NZ,-41.4122,175.5153,41.13,91,100,19.44,light rain
42,New Norfolk,AU,-42.7826,147.0587,41.92,79,100,2.8,light rain
43,Poum,NC,-20.2333,164.0167,71.4,79,99,31.12,overcast clouds
44,Saint-Philippe,RE,-21.3585,55.7679,66.22,80,44,16.78,scattered clouds
45,Carnarvon,AU,-24.8667,113.6333,62.01,57,100,14.83,overcast clouds
46,Collie,AU,-33.3667,116.15,46.33,72,100,3.87,overcast clouds
47,Ipixuna,BR,-1.7625,-48.8043,77.52,91,98,3.06,overcast clouds
48,Itupiranga,BR,-5.1347,-49.3267,89.92,44,99,1.72,overcast clouds
49,Lebu,CL,-37.6167,-73.65,52.65,76,100,9.4,overcast clouds
50,Torbay,CA,47.6666,-52.7314,66.38,93,100,12.66,light rain
51,Alta Floresta,BR,-9.8756,-56.0861,96.62,21,5,4.61,smoke
52,Sakakah,SA,29.9697,40.2064,101.77,8,11,11.7,few clouds
53,Portland,US,45.5234,-122.6762,94.98,52,40,6.91,scattered clouds
54,Sao Felix Do Xingu,BR,-6.6447,-51.995,96.87,24,52,2.77,broken clouds
55,Manadhoo,MV,5.7667,73.3833,79.9,82,100,15.59,moderate rain
56,Bauchi,NG,10.5,10.0,68.43,91,100,5.14,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,52.12,88,75,3.44,broken clouds
58,Mitsamiouli,KM,-11.3847,43.2844,73.69,88,20,2.3,few clouds
59,Elmina,GH,5.0898,-1.348,75.38,80,68,13.65,broken clouds
60,Calabozo,VE,8.9242,-67.4293,87.6,57,99,4.85,overcast clouds
61,Palmerston,AU,-12.486,130.9833,71.58,92,35,4.61,scattered clouds
62,Gouyave,GD,12.1646,-61.7296,84.97,74,20,23.02,few clouds
63,Ruwi,OM,23.5996,58.5507,87.49,80,79,2.98,broken clouds
64,Bluff,NZ,-46.6,168.3333,37.8,74,100,16.31,light rain
65,Cartagena,CO,10.3997,-75.5144,91.02,66,40,17.27,scattered clouds
66,Padang,ID,-0.9492,100.3543,77.38,83,94,2.93,overcast clouds
67,Dinanagar,IN,32.15,75.4667,77.61,91,89,5.48,overcast clouds
68,Saldanha,ZA,-33.0117,17.9442,50.05,79,36,6.42,light rain
69,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,56,20,18.41,few clouds
70,Tawau,MY,4.2498,117.8871,77.13,94,91,4.5,overcast clouds
71,Luderitz,NA,-26.6481,15.1594,56.01,63,76,23.78,broken clouds
72,Zhumadian,CN,32.9794,114.0294,74.75,83,0,4.9,clear sky
73,Lorengau,PG,-2.0226,147.2712,80.55,71,97,5.97,overcast clouds
74,Kaitangata,NZ,-46.2817,169.8464,37.54,91,95,9.57,overcast clouds
75,Katsuura,JP,35.1333,140.3,79.48,88,51,12.86,broken clouds
76,Amapa,BR,1.0,-52.0,79.83,93,31,4.09,scattered clouds
77,Calvia,ES,39.5657,2.5062,84.07,57,0,5.39,clear sky
78,Walvis Bay,NA,-22.9575,14.5053,56.08,87,5,10.36,clear sky
79,Thinadhoo,MV,0.5333,72.9333,77.27,88,100,14.56,light rain
80,Santa Maria,BR,-29.6842,-53.8069,61.9,55,0,5.75,clear sky
81,Ancud,CL,-41.8697,-73.8203,49.23,64,100,2.28,overcast clouds
82,Maldonado,UY,-34.6667,-54.9167,63.79,57,0,4.23,clear sky
83,Chuy,UY,-33.6971,-53.4616,59.4,60,0,0.51,clear sky
