City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Husavik,IS,2022-07-21 18:42:09,66.0449,-17.3389,50.32,78,94,3.98
1,Kaduy,RU,2022-07-21 18:42:09,59.2,37.15,62.71,75,100,5.03
2,Sandwick,GB,2022-07-21 18:42:10,60.0,-1.25,53.42,82,75,10.36
3,Vila Franca Do Campo,PT,2022-07-21 18:42:10,37.7167,-25.4333,72.01,72,30,3.24
4,Quatre Cocos,MU,2022-07-21 18:36:54,-20.2078,57.7625,69.91,71,93,20.74
5,Busselton,AU,2022-07-21 18:36:23,-33.65,115.3333,57.88,77,58,12.06
6,Afogados Da Ingazeira,BR,2022-07-21 18:42:10,-7.7508,-37.6392,75.7,66,94,12.48
7,Kondinskoye,RU,2022-07-21 18:42:11,59.6481,67.41,54.19,65,9,6.31
8,Lvovskoye,RU,2022-07-21 18:42:11,44.9944,38.6354,69.96,55,2,5.95
9,Ushuaia,AR,2022-07-21 18:31:38,-54.8,-68.3,31.66,74,40,19.57
10,Saint George,US,2022-07-21 18:36:49,37.1041,-113.5841,108.63,15,0,8.05
11,Barcelos,PT,2022-07-21 18:42:12,41.5388,-8.6151,81.91,68,7,4.12
12,Quepos,CR,2022-07-21 18:42:12,9.4236,-84.1652,81.55,77,100,4.12
13,Mehamn,NO,2022-07-21 18:42:12,71.0357,27.8492,60.75,94,0,1.14
14,Adwa,ET,2022-07-21 18:42:13,14.1646,38.8955,63.68,85,99,9.73
15,Hambantota,LK,2022-07-21 18:37:13,6.1241,81.1185,79.14,94,40,13.8
16,Hobyo,SO,2022-07-21 18:38:23,5.3505,48.5268,76.19,83,62,23.35
17,Asosa,ET,2022-07-21 18:42:13,10.0667,34.5333,58.78,97,53,2.06
18,Lagoa,PT,2022-07-21 18:42:13,39.05,-27.9833,72.73,83,94,5.06
19,Port Elizabeth,ZA,2022-07-21 18:36:27,-33.918,25.5701,51.1,73,0,2.24
20,Port Alfred,ZA,2022-07-21 18:36:31,-33.5906,26.891,58.21,70,0,0.78
21,Touros,BR,2022-07-21 18:37:30,-5.1989,-35.4608,80.42,72,100,11.61
22,Ostashkov,RU,2022-07-21 18:42:14,57.1467,33.1075,56.05,91,0,4.94
23,Pisco,PE,2022-07-21 18:37:38,-13.7,-76.2167,66.02,72,40,6.91
24,San Vicente,AR,2022-07-21 18:42:14,-26.6167,-54.1333,76.39,52,63,4.43
25,Longyearbyen,SJ,2022-07-21 18:41:21,78.2186,15.6401,51.64,82,75,9.22
26,Upernavik,GL,2022-07-21 18:42:15,72.7868,-56.1549,47.03,87,100,10.78
27,Varhaug,NO,2022-07-21 18:42:15,58.6147,5.6457,59.85,84,92,28.54
28,Hermanus,ZA,2022-07-21 18:36:25,-34.4187,19.2345,44.8,75,100,0.4
29,Bandarbeyla,SO,2022-07-21 18:38:35,9.4942,50.8122,75.88,82,45,28.52
30,Itarema,BR,2022-07-21 18:35:28,-2.9248,-39.9167,85.17,60,82,16.53
31,Nuuk,GL,2022-07-21 18:42:15,64.1835,-51.7216,59.61,67,75,18.41
32,Sztum,PL,2022-07-21 18:42:16,53.9208,19.0307,82.33,43,100,9.35
33,Rauma,FI,2022-07-21 18:42:16,61.1272,21.5113,78.84,74,100,11.18
34,Vianden,LU,2022-07-21 18:42:16,49.935,6.2089,74.93,62,7,5.01
35,Tasiilaq,GL,2022-07-21 18:42:17,65.6145,-37.6368,42.96,77,89,2.84
36,The Valley,AI,2022-07-21 18:36:55,18.217,-63.0578,87.94,62,20,19.57
37,Birao,CF,2022-07-21 18:37:33,10.2849,22.7882,79.72,69,92,3.38
38,Ilulissat,GL,2022-07-21 18:42:17,69.2167,-51.1,48.22,71,75,8.05
39,Chicla,PE,2022-07-21 18:42:17,-11.705,-76.2686,56.28,24,2,6.11
40,Chongwe,ZM,2022-07-21 18:42:18,-15.3292,28.682,63.54,54,80,6.4
41,Saint-Philippe,RE,2022-07-21 18:36:24,-21.3585,55.7679,64.22,81,39,14.25
42,Port-Gentil,GA,2022-07-21 18:38:04,-0.7193,8.7815,75.16,88,40,9.22
43,Santa Cruz,BO,2022-07-21 18:36:49,-17.8,-63.1667,87.85,42,75,26.46
44,Dikson,RU,2022-07-21 18:42:18,73.5069,80.5464,43.09,95,100,21.39
45,Hithadhoo,MV,2022-07-21 18:36:20,-0.6,73.0833,80.74,72,100,4.63
46,Inhambane,MZ,2022-07-21 18:37:47,-23.865,35.3833,64.38,94,20,3.44
47,Mar Del Plata,AR,2022-07-21 18:35:54,-38.0023,-57.5575,54.95,56,0,14.0
48,Castro,BR,2022-07-21 18:36:32,-24.7911,-50.0119,70.7,60,16,5.7
49,Talcahuano,CL,2022-07-21 18:42:19,-36.7167,-73.1167,55.08,88,75,4.61
50,Damghan,IR,2022-07-21 18:37:24,36.1683,54.348,84.36,32,0,1.92
51,Charkhi Dadri,IN,2022-07-21 18:42:19,28.6,76.2667,83.89,76,78,5.39
52,Honningsvag,NO,2022-07-21 18:42:19,70.9821,25.9704,58.75,94,100,4.61
53,Raudeberg,NO,2022-07-21 18:42:20,61.9875,5.1352,54.27,86,100,7.31
54,Port Shepstone,ZA,2022-07-21 18:42:20,-30.7414,30.455,64.67,75,43,9.73
55,Antofagasta,CL,2022-07-21 18:36:33,-23.65,-70.4,60.08,71,7,5.41
56,Poopo,BO,2022-07-21 18:42:20,-18.3667,-66.9667,61.57,8,96,7.49
57,Qaanaaq,GL,2022-07-21 18:42:21,77.484,-69.3632,45.54,70,100,5.93
58,Mapiripan,CO,2022-07-21 18:38:08,2.8892,-72.1256,75.79,87,96,5.48
59,Baturinskaya,RU,2022-07-21 18:42:21,45.7927,39.3707,63.99,61,0,7.81
60,Laguna,US,2022-07-21 18:42:21,38.421,-121.4238,94.96,41,0,5.75
61,Gat,IL,2022-07-21 18:37:03,31.61,34.7642,80.82,100,6,4.14
62,Mahibadhoo,MV,2022-07-21 18:42:22,3.7833,72.9667,83.17,74,100,14.74
63,Kavaratti,IN,2022-07-21 18:37:13,10.5669,72.642,81.21,79,100,19.66
64,Canguaretama,BR,2022-07-21 18:42:22,-6.38,-35.1289,77.76,82,100,11.25
65,Salalah,OM,2022-07-21 18:37:14,17.0151,54.0924,77.09,94,100,5.75
66,Coari,BR,2022-07-21 18:41:43,-4.085,-63.1414,82.51,74,81,1.79
